[7, 9, 8, 10, 3, 2, 5, 1, 4, 6]
[9, 7, 10, 8, 3, 2, 5, 1, 4, 6]
[9, 7, 8, 10, 6, 4, 1, 5, 2, 3]
[9, 7, 8, 10, 3, 2, 5, 1, 4, 6]
[7, 9, 6, 8, 10, 3, 2, 5, 1, 4]
[9, 7, 10, 8, 6, 3, 2, 5, 1, 4]
[9, 7, 6, 8, 10, 4, 1, 5, 2, 3]
[9, 7, 6, 8, 10, 3, 2, 5, 1, 4]
[7, 9, 4, 6, 8, 10, 3, 2, 5, 1]
[9, 7, 10, 8, 6, 4, 3, 2, 5, 1]
[9, 7, 4, 6, 8, 10, 1, 5, 2, 3]
[9, 7, 4, 6, 8, 10, 3, 2, 5, 1]
[7, 9, 1, 4, 6, 8, 10, 3, 2, 5]
[9, 7, 10, 8, 6, 4, 1, 3, 2, 5]
[9, 7, 1, 4, 6, 8, 10, 5, 2, 3]
[9, 7, 1, 4, 6, 8, 10, 3, 2, 5]
[7, 9, 5, 1, 4, 6, 8, 10, 3, 2]
[9, 7, 10, 8, 6, 4, 1, 5, 3, 2]
[9, 7, 5, 1, 4, 6, 8, 10, 2, 3]
[9, 7, 5, 1, 4, 6, 8, 10, 3, 2]
[7, 9, 10, 6, 8, 3, 2, 5, 1, 4]
[10, 9, 7, 8, 6, 3, 2, 5, 1, 4]
[10, 9, 7, 6, 8, 4, 1, 5, 2, 3]
[10, 9, 7, 6, 8, 3, 2, 5, 1, 4]
[7, 9, 10, 4, 6, 8, 3, 2, 5, 1]
[10, 9, 7, 8, 6, 4, 3, 2, 5, 1]
[10, 9, 7, 4, 6, 8, 1, 5, 2, 3]
[10, 9, 7, 4, 6, 8, 3, 2, 5, 1]
[7, 9, 10, 1, 4, 6, 8, 3, 2, 5]
[10, 9, 7, 8, 6, 4, 1, 3, 2, 5]
[10, 9, 7, 1, 4, 6, 8, 5, 2, 3]
[10, 9, 7, 1, 4, 6, 8, 3, 2, 5]
[7, 9, 10, 5, 1, 4, 6, 8, 3, 2]
[10, 9, 7, 8, 6, 4, 1, 5, 3, 2]
[10, 9, 7, 5, 1, 4, 6, 8, 2, 3]
[10, 9, 7, 5, 1, 4, 6, 8, 3, 2]
[7, 9, 10, 8, 4, 6, 3, 2, 5, 1]
[8, 10, 9, 7, 6, 4, 3, 2, 5, 1]
[8, 10, 9, 7, 4, 6, 1, 5, 2, 3]
[8, 10, 9, 7, 4, 6, 3, 2, 5, 1]
[7, 9, 10, 8, 1, 4, 6, 3, 2, 5]
[8, 10, 9, 7, 6, 4, 1, 3, 2, 5]
[8, 10, 9, 7, 1, 4, 6, 5, 2, 3]
[8, 10, 9, 7, 1, 4, 6, 3, 2, 5]
[7, 9, 10, 8, 5, 1, 4, 6, 3, 2]
[8, 10, 9, 7, 6, 4, 1, 5, 3, 2]
[8, 10, 9, 7, 5, 1, 4, 6, 2, 3]
[8, 10, 9, 7, 5, 1, 4, 6, 3, 2]
[7, 9, 10, 8, 6, 1, 4, 3, 2, 5]
[6, 8, 10, 9, 7, 4, 1, 3, 2, 5]
[6, 8, 10, 9, 7, 1, 4, 5, 2, 3]
[6, 8, 10, 9, 7, 1, 4, 3, 2, 5]
[7, 9, 10, 8, 6, 5, 1, 4, 3, 2]
[6, 8, 10, 9, 7, 4, 1, 5, 3, 2]
[6, 8, 10, 9, 7, 5, 1, 4, 2, 3]
[6, 8, 10, 9, 7, 5, 1, 4, 3, 2]
[7, 9, 10, 8, 6, 4, 5, 1, 3, 2]
[4, 6, 8, 10, 9, 7, 1, 5, 3, 2]
[4, 6, 8, 10, 9, 7, 5, 1, 2, 3]
[4, 6, 8, 10, 9, 7, 5, 1, 3, 2]
[9, 10, 6, 8, 7, 3, 2, 5, 1, 4]
[10, 9, 8, 6, 7, 3, 2, 5, 1, 4]
[10, 9, 6, 8, 4, 1, 5, 2, 3, 7]
[10, 9, 6, 8, 7, 3, 2, 5, 1, 4]
[9, 10, 4, 6, 8, 7, 3, 2, 5, 1]
[10, 9, 8, 6, 4, 7, 3, 2, 5, 1]
[10, 9, 4, 6, 8, 1, 5, 2, 3, 7]
[10, 9, 4, 6, 8, 7, 3, 2, 5, 1]
[9, 10, 1, 4, 6, 8, 7, 3, 2, 5]
[10, 9, 8, 6, 4, 1, 7, 3, 2, 5]
[10, 9, 1, 4, 6, 8, 5, 2, 3, 7]
[10, 9, 1, 4, 6, 8, 7, 3, 2, 5]
[9, 10, 5, 1, 4, 6, 8, 7, 3, 2]
[10, 9, 8, 6, 4, 1, 5, 7, 3, 2]
[10, 9, 5, 1, 4, 6, 8, 2, 3, 7]
[10, 9, 5, 1, 4, 6, 8, 7, 3, 2]
[9, 10, 2, 5, 1, 4, 6, 8, 7, 3]
[10, 9, 8, 6, 4, 1, 5, 2, 7, 3]
[10, 9, 2, 5, 1, 4, 6, 8, 3, 7]
[10, 9, 2, 5, 1, 4, 6, 8, 7, 3]
[9, 10, 8, 4, 6, 7, 3, 2, 5, 1]
[8, 10, 9, 6, 4, 7, 3, 2, 5, 1]
[8, 10, 9, 4, 6, 1, 5, 2, 3, 7]
[8, 10, 9, 4, 6, 7, 3, 2, 5, 1]
[9, 10, 8, 1, 4, 6, 7, 3, 2, 5]
[8, 10, 9, 6, 4, 1, 7, 3, 2, 5]
[8, 10, 9, 1, 4, 6, 5, 2, 3, 7]
[8, 10, 9, 1, 4, 6, 7, 3, 2, 5]
[9, 10, 8, 5, 1, 4, 6, 7, 3, 2]
[8, 10, 9, 6, 4, 1, 5, 7, 3, 2]
[8, 10, 9, 5, 1, 4, 6, 2, 3, 7]
[8, 10, 9, 5, 1, 4, 6, 7, 3, 2]
[9, 10, 8, 2, 5, 1, 4, 6, 7, 3]
[8, 10, 9, 6, 4, 1, 5, 2, 7, 3]
[8, 10, 9, 2, 5, 1, 4, 6, 3, 7]
[8, 10, 9, 2, 5, 1, 4, 6, 7, 3]
[9, 10, 8, 6, 1, 4, 7, 3, 2, 5]
[6, 8, 10, 9, 4, 1, 7, 3, 2, 5]
[6, 8, 10, 9, 1, 4, 5, 2, 3, 7]
[6, 8, 10, 9, 1, 4, 7, 3, 2, 5]
[9, 10, 8, 6, 5, 1, 4, 7, 3, 2]
[6, 8, 10, 9, 4, 1, 5, 7, 3, 2]
[6, 8, 10, 9, 5, 1, 4, 2, 3, 7]
[6, 8, 10, 9, 5, 1, 4, 7, 3, 2]
[9, 10, 8, 6, 2, 5, 1, 4, 7, 3]
[6, 8, 10, 9, 4, 1, 5, 2, 7, 3]
[6, 8, 10, 9, 2, 5, 1, 4, 3, 7]
[6, 8, 10, 9, 2, 5, 1, 4, 7, 3]
[9, 10, 8, 6, 4, 5, 1, 7, 3, 2]
[4, 6, 8, 10, 9, 1, 5, 7, 3, 2]
[4, 6, 8, 10, 9, 5, 1, 2, 3, 7]
[4, 6, 8, 10, 9, 5, 1, 7, 3, 2]
[9, 10, 8, 6, 4, 2, 5, 1, 7, 3]
[4, 6, 8, 10, 9, 1, 5, 2, 7, 3]
[4, 6, 8, 10, 9, 2, 5, 1, 3, 7]
[4, 6, 8, 10, 9, 2, 5, 1, 7, 3]
[9, 10, 8, 6, 4, 1, 2, 5, 7, 3]
[1, 4, 6, 8, 10, 9, 5, 2, 7, 3]
[1, 4, 6, 8, 10, 9, 2, 5, 3, 7]
[1, 4, 6, 8, 10, 9, 2, 5, 7, 3]
[10, 8, 4, 6, 9, 7, 3, 2, 5, 1]
[8, 10, 6, 4, 9, 7, 3, 2, 5, 1]
[8, 10, 4, 6, 1, 5, 2, 3, 7, 9]
[8, 10, 4, 6, 9, 7, 3, 2, 5, 1]
[10, 8, 1, 4, 6, 9, 7, 3, 2, 5]
[8, 10, 6, 4, 1, 9, 7, 3, 2, 5]
[8, 10, 1, 4, 6, 5, 2, 3, 7, 9]
[8, 10, 1, 4, 6, 9, 7, 3, 2, 5]
[10, 8, 5, 1, 4, 6, 9, 7, 3, 2]
[8, 10, 6, 4, 1, 5, 9, 7, 3, 2]
[8, 10, 5, 1, 4, 6, 2, 3, 7, 9]
[8, 10, 5, 1, 4, 6, 9, 7, 3, 2]
[10, 8, 2, 5, 1, 4, 6, 9, 7, 3]
[8, 10, 6, 4, 1, 5, 2, 9, 7, 3]
[8, 10, 2, 5, 1, 4, 6, 3, 7, 9]
[8, 10, 2, 5, 1, 4, 6, 9, 7, 3]
[10, 8, 6, 1, 4, 9, 7, 3, 2, 5]
[6, 8, 10, 4, 1, 9, 7, 3, 2, 5]
[6, 8, 10, 1, 4, 5, 2, 3, 7, 9]
[6, 8, 10, 1, 4, 9, 7, 3, 2, 5]
[10, 8, 6, 5, 1, 4, 9, 7, 3, 2]
[6, 8, 10, 4, 1, 5, 9, 7, 3, 2]
[6, 8, 10, 5, 1, 4, 2, 3, 7, 9]
[6, 8, 10, 5, 1, 4, 9, 7, 3, 2]
[10, 8, 6, 2, 5, 1, 4, 9, 7, 3]
[6, 8, 10, 4, 1, 5, 2, 9, 7, 3]
[6, 8, 10, 2, 5, 1, 4, 3, 7, 9]
[6, 8, 10, 2, 5, 1, 4, 9, 7, 3]
[10, 8, 6, 4, 5, 1, 9, 7, 3, 2]
[4, 6, 8, 10, 1, 5, 9, 7, 3, 2]
[4, 6, 8, 10, 5, 1, 2, 3, 7, 9]
[4, 6, 8, 10, 5, 1, 9, 7, 3, 2]
[10, 8, 6, 4, 2, 5, 1, 9, 7, 3]
[4, 6, 8, 10, 1, 5, 2, 9, 7, 3]
[4, 6, 8, 10, 2, 5, 1, 3, 7, 9]
[4, 6, 8, 10, 2, 5, 1, 9, 7, 3]
[10, 8, 6, 4, 1, 2, 5, 9, 7, 3]
[1, 4, 6, 8, 10, 5, 2, 9, 7, 3]
[1, 4, 6, 8, 10, 2, 5, 3, 7, 9]
[1, 4, 6, 8, 10, 2, 5, 9, 7, 3]
[8, 6, 1, 4, 10, 9, 7, 3, 2, 5]
[6, 8, 4, 1, 10, 9, 7, 3, 2, 5]
[6, 8, 1, 4, 5, 2, 3, 7, 9, 10]
[6, 8, 1, 4, 10, 9, 7, 3, 2, 5]
[8, 6, 5, 1, 4, 10, 9, 7, 3, 2]
[6, 8, 4, 1, 5, 10, 9, 7, 3, 2]
[6, 8, 5, 1, 4, 2, 3, 7, 9, 10]
[6, 8, 5, 1, 4, 10, 9, 7, 3, 2]
[8, 6, 2, 5, 1, 4, 10, 9, 7, 3]
[6, 8, 4, 1, 5, 2, 10, 9, 7, 3]
[6, 8, 2, 5, 1, 4, 3, 7, 9, 10]
[6, 8, 2, 5, 1, 4, 10, 9, 7, 3]
[8, 6, 4, 5, 1, 10, 9, 7, 3, 2]
[4, 6, 8, 1, 5, 10, 9, 7, 3, 2]
[4, 6, 8, 5, 1, 2, 3, 7, 9, 10]
[4, 6, 8, 5, 1, 10, 9, 7, 3, 2]
[8, 6, 4, 2, 5, 1, 10, 9, 7, 3]
[4, 6, 8, 1, 5, 2, 10, 9, 7, 3]
[4, 6, 8, 2, 5, 1, 3, 7, 9, 10]
[4, 6, 8, 2, 5, 1, 10, 9, 7, 3]
[8, 6, 4, 1, 2, 5, 10, 9, 7, 3]
[1, 4, 6, 8, 5, 2, 10, 9, 7, 3]
[1, 4, 6, 8, 2, 5, 3, 7, 9, 10]
[1, 4, 6, 8, 2, 5, 10, 9, 7, 3]
[6, 4, 5, 1, 8, 10, 9, 7, 3, 2]
